ID,Oras,Judet,Tip Artera,Nume Artera,Numar,Suprafata,Suprafata2,An,Finisaje,Latitudine,Longitudine,"Pret","Preț unitar
(€/m²)"
146,Zabrani,Arad,,,,240,770,1970,inferior,46.06983497,21.55593342,60000,250
147,Conop,Arad,,,,74.75,2100,<1990,inferior,46.07181473,22.00487077,8500,113.71
148,Fantanele,Arad,,,,223,1521,2004,standard,46.08084785,21.37326835,99500,446.19
149,Conop,Arad,,,,300,1800,1946,inferior,46.08198126,21.8837207,28000,93.33
150,Conop,Arad,,,,300,3100,1950,inferior,46.08783918,22.02571886,20000,66.67
151,Lipova,Arad,,,,262,374,1960,standard,46.08859294,21.69545107,46500,177.48
152,Lipova,Arad,,,,515.2,2800,1950,inferior,46.08859294,21.69476443,74900,145.38
153,Lipova,Arad,,,,103.5,,1960,inferior,46.09460489,21.68352061,15900,153.62
154,Secusigiu,Arad,,,,195.5,1440,<1977,standard,46.10440641,21.02058578,42500,217.39
155,Secusigiu,Arad,,,,150,1800,<1990,inferior,46.11249923,21.04993988,25000,166.67
156,Secusigiu,Arad,,,,180,1440,1960,standard,46.11606922,21.14469696,33000,183.33
157,Zadareni,Arad,,,,172.5,1440,1960,standard,46.11698892,21.14217286,33000,191.3
158,Zadareni,Arad,,,,138,1470,1950,inferior,46.11725247,21.14212413,26900,194.93
159,Ghioroc,Arad,,,,103.5,800,1930,inferior,46.11845649,21.59146729,19500,188.41
160,Fantanele,Arad,,,,172.5,1215,2006,standard,46.12317206,21.38411856,80000,463.77
161,Fantanele,Arad,,,,350,1260,2001,standard,46.12382645,21.38351775,139900,399.71
162,Zadareni,Arad,,,,200,1000,2004,superior,46.12926285,21.19715979,98000,490
163,Zadareni,Arad,,,,287.5,2880,2010,standard,46.1294413,21.19767477,160000,556.52
164,Zadareni,Arad,,,,345,2900,1983,inferior,46.13349263,21.21731182,70000,202.9
165,Zadareni,Arad,,,,287.5,3200,2008,standard,46.13372393,21.21733,250000,869.57
166,Zadareni,Arad,,,,340,1000,2017,superior,46.13408081,21.21775915,398000,1170.59
167,Covasint,Arad,,,,125,1000,<1990,inferior,46.13576271,21.60721838,37000,296
168,Ghioroc,Arad,,,,264,1700,1917,inferior,46.13713482,21.60468522,40400,153.03
169,Arad,Arad,,,,245,582,1998,superior,46.13748586,21.34863496,122000,497.96
170,Arad,Arad,,,,130,840,1975,standard,46.13924382,21.345069,46000,353.85
171,Arad,Arad,,,,125,840,1975,inferior,46.13953614,21.34451497,42000,336
172,Arad,Arad,,,,109.25,550,1977,inferior,46.14123264,21.34666085,65000,594.97
173,Arad,Arad,Strada,Stan Dragu,,269,1098,1980,standard,46.14406114,21.32482231,109900,408.55
174,Arad,Arad,,,,150,1500,1978,inferior,46.14690436,21.31845474,84000,560
